,AQI,City Index,Latitude,Longitude,URL,Dominant,Dew,Humidity,Pressure,PM25,Temperature,Wind,Ozone,PM10,UV
New-York-City,33,3309,40.7127837,-74.0059413,https://aqicn.org/city/newyork,pm25,0,63,1021.4,9,7.7,5.6,17,9,0
Los-Angeles,53,243,34.06653,-118.22676,https://aqicn.org/city/losangeles/los-angeles-north-main-street,pm10,0,53,1015.5,42,17.7,1,14,42,1
Chicago,48,7397,41.9136,-87.7239,https://aqicn.org/city/usa/illinois/chi_sp,pm25,0,52,1011.8,20,13.3,2.5,14,20,0
Houston,34,178,29.686389,-95.294722,https://aqicn.org/city/texas/houston/park-place,o3,12,48.8,1014.9,36,24.1667,8.5,5,36,1
Phoenix,24,5944,33.403055555556,-112.07527777778,https://aqicn.org/city/usa/maricopa/south-phoenix,o3,0,80,1013.3,14,12.2,2.2,16,14,1
Philadelphia,10,10168,39.934635,-75.126126,https://aqicn.org/city/usa/newjersey/camden-spruce-st,pm25,0,48.5,1021.2,9,10.8,0.5,20,9,1
San-Antonio,45,189,29.4239327,-98.5805051,https://aqicn.org/city/texas/san-antonio/old-hwy-90,pm25,0,53.6,1014.4,14,22.6667,7.5,7,14,1
San-Diego,52,13063,32.7101770008584,-117.142665,https://aqicn.org/city/california/san-diego/san-diego-sherman-elementary-school,pm25,0,67.5,1014.5,44,17.2,3.5,7,44,1
Dallas,39,204,32.8200608,-96.8601165,https://aqicn.org/city/texas/dallas/fort-worth/dallas-hinton,o3,2,20,997.2,29,25.2778,9.4,6,29,1
San-Jose,61,3902,37.34849,-121.89494,https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,pm25,0,38,1022.6,34,18.3,0,5,34,1
Austin,34,218,30.3544356,-97.7602554,https://aqicn.org/city/texas/austin/austin-northwest,pm25,0,52,1011.3,14,22.7778,7.7,9,14,1
Jacksonville,54,9628,30.356388888889,-81.635277777778,https://aqicn.org/city/usa/florida/duval/kooker-park--jacksonville,pm25,0,61,1019.5,7,18.3,1,20,7,1
Charlotte,38,13139,35.281791,-80.851473,https://aqicn.org/city/usa/north-carolina/friendship-park,pm25,0,35,1022,9,16.1,1,16,9,1
San-Francisco,42,3900,37.76595,-122.39902,https://aqicn.org/city/california/san-francisco/san-francisco-arkansas-street,pm25,0,68,1014.1,33,15.5,1,6,33,0
Indianapolis,68,8699,39.787933,-86.13088,https://aqicn.org/city/usa/indiana/indpls-i-70-e,pm25,0,55.5,1015.8,14,14.4,0.2,14,14,0
Seattle,30,5855,47.597222,-122.319722,https://aqicn.org/city/usa/washington/seattle/10th-and-weller,pm25,0,91.2,1013.4,4,5.1,2.7,25,4,0
Denver,34,6314,39.751184,-104.987625,https://aqicn.org/city/usa/colorado/camp,pm25,0,46,1017.5,14,5.55556,4,7,14,0
Washington,67,5336,38.8577,-77.05922,https://aqicn.org/city/usa/virginia/aurora-hills-visitor-center,pm25,2,61,1021.6,6,9,2.5,26,6,0
Boston,25,5883,42.3584308,-71.0597732,https://aqicn.org/city/boston,pm25,0,59.6,1018.5,5,5.9,3,24,5,0
El-Paso,47,209,31.7682914,-106.5012595,https://aqicn.org/city/texas/el-paso/el-paso-utep,pm25,0,70,1009.2,52,12.7,5,6,52,0
Nashville,42,7496,36.1767,-86.7386,https://aqicn.org/city/usa/tennessee/lockland,pm25,0,34,992.9,15,20.5,9,13,15,0
Detroit,97,5915,42.3149367,-83.0363633,https://aqicn.org/city/windsor,pm25,0,79,1017.2,12,5.8,1.2,12,12,0
Oklahoma-City,31,10178,35.502968,-97.577674,https://aqicn.org/city/usa/oklahoma/near-road-okc,pm10,0,26,967.3,8,23,10.5,15,8,1
Portland,44,10149,45.496640911,-122.60287735,https://aqicn.org/city/usa/oregon/portland-postal-bldg.,pm25,0,86,29.72,38,6.3,6.3,1,38,0
Las-Vegas,69,5277,36.16396,-115.11393,https://aqicn.org/city/usa/clark-county/sunrise-acres,pm25,-11,13,1010.8,36,17,1.5,12,36,0
Louisville,43,12843,38.288191,-85.741337,https://aqicn.org/city/usa/indiana/jeffersonville-bates-bowyer-av,pm25,0,49,1013.9,13,16.4,0.1,14,13,0
Baltimore,65,7418,39.2981,-76.604698,https://aqicn.org/city/usa/maryland/oldtown,pm25,0,66,1021.4,5,8.3,0.5,28,5,0
Milwaukee,83,5936,43.06122,-87.91352,https://aqicn.org/city/usa/wisconsin/milw-ser-dnr,pm25,0,73,1009.1,11,6.9,1.7,19,11,0
Albuquerque,50,9624,35.0186,-106.651901,https://aqicn.org/city/usa/new-mexico/south-valley,pm25,1,86,1013.2,22,3,1.3,9,22,0
Tucson,30,5960,32.251846,-110.965296,https://aqicn.org/city/usa/pima-county/geronimo,o3,0,77.5,1010.9,21,13.6,2.5,31,21,0
Fresno,114,276,36.78538,-119.77321,https://aqicn.org/city/california/fresno/fresno-garland,pm25,0,44,1016.4,34,16.6,1,8,34,1
Mesa,26,5956,33.410277777778,-111.865,https://aqicn.org/city/usa/maricopa/mesa,o3,0,90,1013,11,11.1,3.1,22,11,0
Sacramento,34,304,38.56844,-121.49311,https://aqicn.org/city/california/sacramento/sacramento-1309-t-street,pm25,0,31,1021.8,28,18.3,0.2,8,28,0
Atlanta,32,13288,33.720192,-84.357056,https://aqicn.org/city/georgia/united-ave.,pm25,0,51.5,1020.2,10,15.5,0.5,20,10,1
Kansas-City,35,7357,39.10465,-94.57055,https://aqicn.org/city/usa/missouri/troost,pm10,-1,25,1009.1,10,19,3,11,10,0
Colorado-Springs,16,6316,38.848014,-104.828564,https://aqicn.org/city/usa/colorado/colorado-college,pm10,0,35,1012.6,6,5.55556,4,22,6,0
Omaha,38,7363,41.2474,-95.9731,https://aqicn.org/city/usa/nebraska/ncore,pm10,0,62.6,1012,8,6.8,7.3,12,8,0
Raleigh,23,7668,35.856098,-78.574203,https://aqicn.org/city/usa/north-carolina/millbrook-ncore,o3,0,57,1021.9,5,13.3,1.3,24,5,1
Miami,35,6298,25.794722222222,-80.215555555556,https://aqicn.org/city/usa/florida/miami-dade/miami-fire-station-station--5,pm25,12,56,1020.3,8,21,2,26,8,1
Long-Beach,53,247,33.7924,-118.17525,https://aqicn.org/city/california/los-angeles/south-long-beach,pm25,9,63,1016.2,60,16,4.1,8,60,1
Oakland,63,5363,37.793635,-122.263356,https://aqicn.org/city/california/alameda/oakland-laney-college,pm25,0,62.6,1017.1,32,17.8,0.1,9,32,0
Minneapolis,53,7344,44.9536,-93.2581,https://aqicn.org/city/usa/minnesota/minneapolis-phillips,pm25,0,64,1014,15,6.6,6.5,8,15,0
Tulsa,36,7371,36.206699,-95.976402,https://aqicn.org/city/usa/oklahoma/tulsa,o3,0,26,1009.2,7,23.3,9.5,15,7,0
Tampa,29,9625,27.928333333333,-82.454444444444,https://aqicn.org/city/usa/florida/hillsborough/coast-guard-station-davis-island,pm10,0,64,1020.4,6,20.2,0.7,29,6,1
Arlington,42,184,32.6563574,-97.0885849,https://aqicn.org/city/texas/dallas/fort-worth/arlington-municipal-airport,o3,2,21,1011.1,23,24.2778,16.7,9,23,1
New-Orleans,49,12847,29.993278,-90.101464,https://aqicn.org/city/usa/louisiana/new-orleans-city-park-site,o3,0,73.1,1020.1,19,22,3,16,19,0
Wichita,37,9189,37.7011,-97.3139,https://aqicn.org/city/usa/kansas/whlthdpt,o3,0,30,1007.4,6,20,0.2,17,6,1
Bakersfield,107,279,35.35662,-119.06261,https://aqicn.org/city/california/kern/bakersfield-california-avenue,pm25,0,39,1010.8,22,17.7,3,7,22,1
Cleveland,34,7462,41.492191,-81.678552,https://aqicn.org/city/usa/ohio/g.t.craig,pm10,0,79,1018.2,4,2.2,0.2,31,4,0
Aurora,19,18,44.044306,-79.48325,https://aqicn.org/city/canada/ontario/newmarket,o3,0,83.6,1017.1,4,2.7,0.1,28,4,0
Anaheim,36,317,33.83061,-117.9385,https://aqicn.org/city/california/orange/anaheim-loara-school,pm25,9,55,1015.5,49,18,6.1,7,49,1
Honolulu,25,5268,21.30758,-157.85542,https://aqicn.org/city/usa/hawaii/honolulu,pm25,18,54,1016.2,12,28,1,38,12,2
Santa-Ana,36,317,33.83061,-117.9385,https://aqicn.org/city/california/orange/anaheim-loara-school,pm25,9,55,1015.5,49,18,6.1,7,49,1
Riverside,55,252,33.99952,-117.41595,https://aqicn.org/city/california/riverside/rubidoux-mission-blvd,pm25,0,34,1015.1,22,19.3,2.4,19,22,1
Corpus-Christi,7,211,27.8118142,-97.4657005,https://aqicn.org/city/texas/corpus-christi/dona-park,pm25,15,57,1013.8,8,24.5556,12.3,13,8,1
Lexington,51,7330,38.065,-84.5,https://aqicn.org/city/usa/kentucky/newtwn,pm25,0,64,1018.2,7,12.5,2,23,7,0
Henderson,67,5274,36.0487,-115.05294,https://aqicn.org/city/usa/clark-county/green-valley,pm25,0,15.8,1010.3,36,17.2,0.1,10,36,0
Stockton,57,285,37.95075,-121.26897,https://aqicn.org/city/california/san-joaquin/stockton-hazelton,pm25,-3,22,1016.2,23,19,2.5,5,23,0
Saint-Paul,24,8622,-21.022111111111,55.266775,https://aqicn.org/city/france/reunion/plateau-caillou,pm25,0,93,1095.6,14,18.3,1,17,14,0
Cincinnati,55,7455,39.12886,-84.50404,https://aqicn.org/city/usa/ohio/taft,pm25,0,42.8,1014.3,8,15,0,22,8,0
St.-Louis,69,7350,38.656449,-90.198548,https://aqicn.org/city/usa/missouri/blair-street,pm25,0,99,1014.6,25,15,1.2,6,25,1
Pittsburgh,68,10172,40.4045579,-79.9102686,https://aqicn.org/city/usa/pennsylvania/allegheny/parkway-east,pm25,0,57.5,1021.1,6,5.8,0.4,24,6,0
Greensboro,38,8883,36.1092,-79.8011,https://aqicn.org/city/usa/north-carolina/mendnhal,pm25,0,53,1021.1,4,12.7,0.1,28,4,1
Lincoln,25,7364,40.812558,-96.675733,https://aqicn.org/city/usa/nebraska/llchd-bam,pm25,0,60.6,449.9,5,8,6.4,19,5,0
Anchorage,10,8693,61.1744921,-149.8344237,https://aqicn.org/city/usa/alaska/anchorage/laurel,pm10,0,93,1018.8,3,-7.7,0.5,25,3,0
Orlando,41,6302,28.596388888889,-81.3625,https://aqicn.org/city/usa/florida/orange/lake-isle-estates-winter-park,pm25,8,43,1020.6,8,21,2,22,8,1
Irvine,14,6012,55.614578,-4.666786,https://aqicn.org/city/united-kingdom/scotland/north-ayrshire-irvine-high-st,o3,0,92,982.3,7,7.7,3.2,22,7,0
Newark,16,3562,40.72102,-74.1928,https://aqicn.org/city/usa/newjersey/newark-firehouse,pm25,0,63,1020.3,8,6.6,0.5,21,8,0
Durham,34,7433,35.9919,-78.8964,https://aqicn.org/city/usa/north-carolina/durham-armory,pm25,0,57.5,1024.6,3,13.3,0.3,27,3,1
Chula-Vista,40,13063,32.7101770008584,-117.142665,https://aqicn.org/city/california/san-diego/san-diego-sherman-elementary-school,pm25,0,67,1015,44,16.6,3,7,44,1
Toledo,45,7450,41.644067,-83.54625,https://aqicn.org/city/usa/ohio/erie,pm25,0,79.5,1012.4,10,6.3,0,20,10,0
Fort-Wayne,54,7505,41.094965,-85.101816,https://aqicn.org/city/usa/indiana/fort-wayne-beacon-st,pm25,3,61,1015.2,8,10,2.5,24,8,0
St.-Petersburg,5,12899,59.96903,30.28451,https://aqicn.org/city/russia/saint-petersburg/professor-popov-str,pm25,0,81.1,1003.2,0,15.5,6.5,29.4,0,0
Jersey-City,33,3309,40.7127837,-74.0059413,https://aqicn.org/city/newyork,pm25,0,63,1021.4,9,7.7,5.6,17,9,0
Madison,66,5933,43.07378,-89.43595,https://aqicn.org/city/usa/wisconsin/madison-east,pm25,0,63.2,1010,11,10,0.7,22,11,0
Lubbock,30,9152,33.58553,-101.78698,https://aqicn.org/city/texas/lubbock/lubbock-12th-street,pm25,-2,18,1008.8,6,23.6667,15.6,12,6,1
Buffalo,35,5879,42.8864468,-78.8783689,https://aqicn.org/city/buffalo,pm25,0,77,1018.8,4,5.2,0.5,29,4,0
Gilbert,26,5956,33.410277777778,-111.865,https://aqicn.org/city/usa/maricopa/mesa,o3,0,90,1013,11,11.1,3.1,22,11,0
Glendale,18,5954,33.569166666667,-112.19138888889,https://aqicn.org/city/usa/maricopa/glendale,o3,0,82,1013.9,12,13.3,0.4,21,12,0
North-Las-Vegas,69,5277,36.16396,-115.11393,https://aqicn.org/city/usa/clark-county/sunrise-acres,pm25,-11,13,1010.8,36,17,1.5,12,36,0
Irving,39,204,32.8200608,-96.8601165,https://aqicn.org/city/texas/dallas/fort-worth/dallas-hinton,o3,2,20,996.8,29,25.2778,9.4,6,29,1
Hialeah,35,6298,25.794722222222,-80.215555555556,https://aqicn.org/city/usa/florida/miami-dade/miami-fire-station-station--5,pm25,12,56,1020.3,8,21,2,26,8,1
Richmond,63,5357,37.55652,-77.40027,https://aqicn.org/city/usa/virginia/msic-mathscience-innovation-center,pm25,0,68.2,1019.7,6,9.7,1.3,21,6,0
Boise,42,9615,43.618889,-116.213611,https://aqicn.org/city/usa/idaho/boise-fire-station,pm25,-6,44,1016.2,12,5,3.6,13,12,0
Spokane,30,149,47.69983,-117.42631,https://aqicn.org/city/usa/washington/spokane/monroe-st,pm25,0,86.2,1018.2,12,2.9,0.7,10,12,0
Baton-Rouge,43,6513,30.46198,-91.17922,https://aqicn.org/city/usa/louisiana/baton-rouge-capitol-site,o3,0,48,29.81,13,25.2,3,12,13,1
Tacoma,53,9511,47.22634,-122.46256,https://aqicn.org/city/usa/washington/tacoma/s-36th-st,pm25,0,98.1,1014.4,4,5,0.5,23,4,0
San-Bernardino,76,13304,19.409853333333,-98.150011111111,https://aqicn.org/city/mexico/tlaxcala/apizaco/centro-de-salud,pm25,3,27,1024.3,14,23,4.1,21,14,2
Modesto,32,287,37.64217,-120.99421,https://aqicn.org/city/california/stanislaus/modesto-14th-street,pm10,-3,25,1015.9,29,17,5.6,6,29,0
Des-Moines,46,6924,41.603056,-93.643056,https://aqicn.org/city/usa/iowa/des-moines/carpenter,pm25,0,35.7,1010.3,12,13.8,3.2,10,12,0
Santa-Clarita,36,246,34.38337,-118.52839,https://aqicn.org/city/losangeles/santa-clarita-placerita,o3,0,45.5,1014.8,14,17.2,3,35,14,1
Fayetteville,38,7441,35.041401,-78.953102,https://aqicn.org/city/usa/north-carolina/w-owen-sch,pm25,0,56.5,1020.5,5,14.1,0.8,23,5,1
Birmingham,10,5723,52.486243,-1.890401,https://aqicn.org/city/birmingham,pm10,0,97,991.8,12,6.1,2.6,14,12,0
Oxnard,46,264,34.25238,-119.14318,https://aqicn.org/city/california/ventura/el-rio-rio-mesa-school--2,pm25,0,68.6,1015.9,10,15.7,4.4,38,10,1
Rochester,44,9597,43.145021,-77.557608,https://aqicn.org/city/usa/newyork/rochester-near-rd,pm25,0,82,1020.5,3,3,1.7,31,3,0
Grand-Rapids,40,5327,42.9633599,-85.6680863,https://aqicn.org/city/usa/michigan/grand-rapids,pm25,0,56,1012.5,8,10.9,6,22,8,0
Huntsville,31,7596,34.6917,-86.591698,https://aqicn.org/city/usa/alabama/huntsville-old-airport,pm25,0,38.5,1014.9,11,21.3,1,12,11,1
Salt-Lake-City,90,4469,40.733501,-111.871696,https://aqicn.org/city/utah/salt-lake-city,pm25,0,57,1015,40,2.73889,2.4,5,40,0
Frisco,42,3900,37.76595,-122.39902,https://aqicn.org/city/california/san-francisco/san-francisco-arkansas-street,pm25,0,68,1014.1,33,15.5,1,6,33,0
Yonkers,23,64,40.848913,-73.930604,https://aqicn.org/city/usa/newyork/is-143,pm25,-1,53,1021.6,7,8,3.6,22,7,0
Glendale,18,5954,33.569166666667,-112.19138888889,https://aqicn.org/city/usa/maricopa/glendale,o3,0,82,1013.9,12,13.3,0.4,21,12,0
Montgomery,59,7379,32.4069,-86.2564,https://aqicn.org/city/usa/alabama/montg,pm25,0,34.4,1025.7,11,21.2,0.4,13,11,1
Augusta,12,3908,33.433349,-82.022217,https://aqicn.org/city/georgia/augusta,pm10,4,39,1020.3,7,18,2,13,7,1
Aurora,19,18,44.044306,-79.48325,https://aqicn.org/city/canada/ontario/newmarket,o3,0,83.6,1017.1,4,2.7,0.1,28,4,0
Akron,59,7465,41.063526,-81.468956,https://aqicn.org/city/usa/ohio/east-high-school,pm25,1,53,1017.9,4,10,1.5,29,4,0
Little-Rock,42,7383,34.7561,-92.2758,https://aqicn.org/city/usa/arkansas/parr,o3,2,25,1014.2,14,23,5.1,6,14,0
Tempe,26,5950,33.411111111111,-111.93472222222,https://aqicn.org/city/usa/maricopa/tempe,o3,0,63.2,1012.7,11,16.4,1.8,22,11,0
Tallahassee,40,6295,30.439722222222,-84.346388888889,https://aqicn.org/city/usa/florida/leon/tallahassee-community-college,pm25,4,32,1019.9,5,21,2,26,5,1
Cape-Coral,28,6311,26.601944444444,-81.877777777778,https://aqicn.org/city/usa/florida/lee/winkler-pump-station,pm25,11,49,1020.3,6,22,2.5,32,6,1
Mobile,62,8199,30.7697,-88.0875,https://aqicn.org/city/usa/alabama/chick.,pm25,0,62,1018.9,11,20,0.3,18,11,0
Knoxville,52,7494,35.9803,-83.9306,https://aqicn.org/city/usa/tennessee/air-lab,pm25,0,49,1021.3,9,16.1,1,16,9,1
Shreveport,45,7635,32.53626,-93.74891,https://aqicn.org/city/usa/louisiana/shreveport-downtown-airport-site,pm25,4,28,1014.8,11,23,5.6,12,11,1
Worcester,23,3574,42.263877,-71.794186,https://aqicn.org/city/usa/massachusett/worcester/summer-st,o3,0,64.1,1019.7,3,3.5,0.8,28,3,0
Ontario,57,255,34.10367,-117.62906,https://aqicn.org/city/california/san-bernardino/upland,pm25,0,37.2,1010.3,18,17.7,5.7,26,18,1
Vancouver,15,10133,49.1864,-123.1522,https://aqicn.org/city/british-comlumbia/vancouver-international-airport--2,pm25,4,87,1015.9,13,6,2,10,13,0
Sioux-Falls,29,7490,43.54792,-96.700768,https://aqicn.org/city/usa/south-dakota/sioux-falls,pm25,0,65,1015.2,3,6,8.2,22,3,0
Chattanooga,48,7372,35.0508,-85.2931,https://aqicn.org/city/usa/tennessee/riverside,pm25,0,48,1016.8,8,16.6,0.2,17,8,1
Brownsville,13,214,25.8925176,-97.4938295,https://aqicn.org/city/texas/harlingen/brownsville,pm25,0,69.5,1013.6,20,24.9444,13.2,15,20,1
Providence,34,7593,41.829495,-71.417457,https://aqicn.org/city/usa/rhode-island/near-road,pm25,0,63,960.1,5,6.1,1.5,25,5,0
Newport-News,59,5345,37.10373,-76.38701,https://aqicn.org/city/usa/virginia/nasa-langley-research-center,pm25,0,70,1018.3,4,8.6,0.7,28,4,0
Rancho-Cucamonga,57,255,34.10367,-117.62906,https://aqicn.org/city/california/san-bernardino/upland,pm25,0,37.2,1010.3,18,17.7,5.7,26,18,1
Santa-Rosa,21,11368,14.307201385498,121.11041259766,https://aqicn.org/city/philippines/santa-rosa/city-station,o3,0,60.8,1012.4,18,30.2,5.8,22,18,0
Peoria,18,5954,33.569166666667,-112.19138888889,https://aqicn.org/city/usa/maricopa/glendale,o3,0,82,1013.9,12,13.3,0.4,21,12,0
Oceanside,39,269,33.21701,-117.39616,https://aqicn.org/city/california/san-diego/camp-pendleton,pm25,0,81,1018.6,27,15,10,10,27,1
Salem,54,89,44.943114,-123.005934,https://aqicn.org/city/usa/oregon/salem,pm25,0,0,0,12,10,1,2,12,0
